word,jyutping,occured,ratio
喂,wai3,154,0.001283579
遲,ci4,20,0.000166699
啲,di1,376,0.003133934
去,heoi3,639,0.005326021
唔,m4,1944,0.016203106
旅行,leoi5hang4,3,2.50048E-05
啊,aa3,3540,0.029505655
你,nei5,2535,0.02112905
老公,lou5gung1,16,0.000133359
有冇,jau5mou5,126,0.001050201
平,peng4,60,0.000500096
機票,gei1piu3,8,6.66794E-05
要,jiu3,495,0.004125791
淡季,daam6gwai3,4,3.33397E-05
先,sin1,241,0.002008718
有得,jau5dak1,35,0.000291723
𡃉,gaa3,1779,0.014827842
喎,wo3,896,0.007468098
而家,ji4gaa1,384,0.003200613
旺,wong6,1,8.33493E-06
冇得,mou5dak1,44,0.000366737
嗱,laa4,23,0.000191703
吓,haa5,8,6.66794E-05
旺季,wong6gwai3,1,8.33493E-06
通常,tung1soeng4,51,0.000425081
都,dou1,2149,0.017911766
係,hai6,4936,0.041141219
貴,gwai3,96,0.000800153
啲,di1,764,0.006367887
咩,me1,240,0.002000383
我,ngo5,2668,0.022237596
聽,teng1,170,0.001416938
朋友,pang4jau5,31,0.000258383
講,gong2,606,0.005050968
話,waa6,870,0.00725139
誒,e6,817,0.006809639
嗰個,go2go3,372,0.003100594
舊,gau6,16,0.000133359
迪士尼,dik6si6nei4,3,2.50048E-05
呢,ne1,2134,0.017786742
廿五,jaa6ng5,7,5.83445E-05
週年,zau1nin4,3,2.50048E-05
好,hou2,1181,0.009843553
抵,dai2,22,0.000183368
玩,waan2,128,0.001066871
直程,zik6cing4,38,0.000316727
可以,ho2ji5,291,0.002425465
喺,hai2,427,0.003559015
裏邊,leoi5bin6,63,0.000525101
嗰啲,go2di1,792,0.006601265
酒店,zau2dim3,13,0.000108354
住,zyu6,26,0.000216708
𠻹,tim1,70,0.000583445
佢,keoi5,2224,0.018536886
跟,gan1,31,0.000258383
旅行社,leoi5hang4se5,1,8.33493E-06
囖,lo1,1401,0.011677238
七,cat1,29,0.000241713
八月,baat3jyut6,22,0.000183368
嗰陣時,go2zan6si4,164,0.001366929
但係,daan6hai6,758,0.006317878
幾,gei2,406,0.003383982
成,seng4,67,0.00055844
萬四,maan6sei3,3,2.50048E-05
蚊,man1,198,0.001650316
四,sei3,46,0.000383407
五,ng5,38,0.000316727
日,jat6,121,0.001008527
淨係,zing6hai6,63,0.000525101
嗰度,go2dou6,120,0.001000192
咋,zaa3,133,0.001108546
冇,mou5,761,0.006342882
嘢,je5,560,0.004667561
做,zou6,610,0.005084308
噉,gam2,562,0.004684231
咪,mai6,382,0.003183944
食,sik6,187,0.001558632
同,tung4,17,0.000141694
啱,aam1,82,0.000683464
乜嘢,mat1je5,625,0.005209332
唔係,m4hai6,1052,0.008768347
過,gwo3,329,0.002742192
喇,laa1,1481,0.012344033
咪,mai6,9,7.50144E-05
薯條,syu4tiu2,1,8.33493E-06
就,zau6,1759,0.014661143
多,do1,316,0.002633838
睇,tai2,539,0.004492528
不過,bat1gwo3,201,0.001675321
幾,gei2,207,0.001725331
悶,mun6,30,0.000250048
啫,ze1,236,0.001967044
喺,hai2,26,0.000216708
晒,saai3,228,0.001900364
大,daai6,169,0.001408603
一,jat1,1087,0.00906007
個,go3,1442,0.01201897
場,coeng4,1,8.33493E-06
真係,zan1hai6,576,0.00480092
咗,zo2,803,0.006692949
咁,gam3,444,0.003700709
瞓覺,fan3gaau3,7,5.83445E-05
黐線,ci1sin3,5,4.16747E-05
搭,daap3,27,0.000225043
飛機,fei1gei1,13,0.000108354
去,heoi3,60,0.000500096
過,gwo3,41,0.000341732
嗰邊,go2bin1,25,0.000208373
呀,aa4,378,0.003150604
噉,gam2,2102,0.017520025
放假,fong3gaa3,17,0.000141694
俾,bei2,214,0.001783675
餅,beng2,6,5.00096E-05
帶,daai2,9,7.50144E-05
借,ze3,25,0.000208373
俾,bei2,243,0.002025388
喎,wo3,19,0.000158364
下,haa5,356,0.002967235
裏面,leoi5min6,14,0.000116689
有,jau5,1296,0.01080207
同埋,tung4maai4,256,0.002133742
嚹,laa3,636,0.005301016
租,zou1,9,7.50144E-05
返,faan1,146,0.0012169
屋企,uk1kei2,78,0.000650125
好,hou2,567,0.004725906
點解,dim2gaai2,176,0.001466948
因為,jan1wai6,340,0.002833876
哩,ni1,271,0.002258766
行,hong4,2,1.66699E-05
唔使,m4sai2,112,0.000933512
問,man6,148,0.00123357
記,gei3,8,6.66794E-05
幾,gei2,24,0.000200038
次,ci3,131,0.001091876
唧,zek1,78,0.000650125
知,zi1,567,0.004725906
吓,haa2,70,0.000583445
即係,zik1hai6,126,0.001050201
嘅,ge3,1537,0.012810789
時候,si4hau6,103,0.000858498
呢,ne1,546,0.004550872
一定,jat1ding6,85,0.000708469
會,wui5,782,0.006517916
重,zung6,206,0.001716996
唔使,m4sai2,6,5.00096E-05
人,jan4,697,0.005809447
排長,paai4coeng4,1,8.33493E-06
排隊,paai4deoi2,7,5.83445E-05
差唔多,caa1m4do1,46,0.000383407
上次,soeng6ci3,23,0.000191703
幾時,gei2si4,46,0.000383407
九月,gau2jyut6,10,8.33493E-05
中,zung1,5,4.16747E-05
未,mei6,190,0.001583637
放,fong3,3,2.50048E-05
完,jyun4,75,0.00062512
暑假,syu2gaa3,17,0.000141694
清楚,cing1co2,18,0.000150029
有啲,jau5di1,90,0.000750144
快,faai3,82,0.000683464
迫人,bik1jan4,1,8.33493E-06
變,bin3,79,0.00065846
煙花,jin1faa1,1,8.33493E-06
迫,bik1,3,2.50048E-05
好多,hou2do1,240,0.002000383
等,dang2,46,0.000383407
到,dou3,187,0.001558632
頸,geng2,2,1.66699E-05
長,coeng4,26,0.000216708
埋,maai4,158,0.001316919
來,lai4,334,0.002783867
下次,haa6ci3,5,4.16747E-05
邊,bin1,103,0.000858498
定,ding6,15,0.000125024
想,soeng2,188,0.001566967
噉樣,gam2joeng2,307,0.002558824
最,zeoi3,183,0.001525292
澳洲,ou3zau1,16,0.000133359
紐西蘭,nau5sai1laan4,9,7.50144E-05
嗯,m6,370,0.003083924
哦,o3,119,0.000991857
以為,ji5wai4,41,0.000341732
親,can1,14,0.000116689
棱,lang3,3,2.50048E-05
一齊,jat1cai4,50,0.000416747
嗰頭,go2tau4,5,4.16747E-05
嗰,go2,416,0.003467331
嘞,laak3,400,0.003333972
坐,co5,35,0.000291723
耐,noi6,53,0.000441751
機,gei1,5,4.16747E-05
喇,laa1,1,8.33493E-06
一次過,jat1ci3gwo3,9,7.50144E-05
咯,lok3,18,0.000150029
分開,fan1hoi1,6,5.00096E-05
兩,loeng5,215,0.00179201
新西,san1sai1,1,8.33493E-06
定,ding6,50,0.000416747
新西蘭,san1sai1laan4,2,1.66699E-05
究竟,gau3ging2,22,0.000183368
叫,giu3,111,0.000925177
紐,nau5,1,8.33493E-06
又,jau6,882,0.007351409
照,ziu3,1,8.33493E-06
譯,jik6,24,0.000200038
叫做,giu3zou6,48,0.000400077
其實,kei4sat6,436,0.00363403
一樣,jat1joeng6,35,0.000291723
地方,dei6fong1,47,0.000391742
好似,hou2ci5,313,0.002608833
靚,leng3,81,0.000675129
風景,fung1ging2,5,4.16747E-05
海豚,hoi2tyun4,1,8.33493E-06
定係,ding6hai6,15,0.000125024
鯨魚,king4jyu4,5,4.16747E-05
觀團,gun1tyun4,1,8.33493E-06
出海,ceot1hoi2,2,1.66699E-05
游水,jau4seoi2,3,2.50048E-05
夾,gaap3,8,6.66794E-05
時間,si4gaan3,73,0.00060845
段,dyun6,20,0.000166699
羣,kwan4,1,8.33493E-06
哩個,ni1go3,342,0.002850546
帕斯,paak3si1,4,3.33397E-05
未必,mei6bit1,27,0.000225043
包,baau1,15,0.000125024
得,dak1,276,0.002300441
到,dou2,370,0.003083924
觀,gun1,2,1.66699E-05
鯨,king4,1,8.33493E-06
團,tyun4,7,5.83445E-05
隻,zek3,214,0.001783675
船,syun4,8,6.66794E-05
到時,dou3si4,9,7.50144E-05
自己,zi6gei2,304,0.002533819
意思,ji3si1,27,0.000225043
如果,jyu4gwo2,320,0.002667178
即係,zik1hai6,1632,0.013602607
直頭,zik6tau4,12,0.000100019
海,hoi2,6,5.00096E-05
度,dou6,1,8.33493E-06
珊瑚,saan1wu4,1,8.33493E-06
餵,wai3,3,2.50048E-05
天然,tin1jin4,2,1.66699E-05
人哋,jan4dei6,85,0.000708469
養,joeng5,118,0.000983522
可能,ho2nang4,201,0.001675321
時期,si4kei4,2,1.66699E-05
群,kwan4,1,8.33493E-06
出來,ceot1lai4,132,0.001100211
所以,so2ji5,217,0.00180868
性,sing3,5,4.16747E-05
邊個,bin1go3,125,0.001041866
先至,sin1zi3,35,0.000291723
撞,zong6,12,0.000100019
參加,caam1gaa1,6,5.00096E-05
邊個,bin1go3,1,8.33493E-06
月份,jyut6fan6,2,1.66699E-05
算,syun3,80,0.000666794
對,deoi3,63,0.000525101
冇乜,mou5mat1,1,8.33493E-06
興趣,hing3ceoi3,18,0.000150029
啊,aa3,82,0.000683464
喲,jo3,4,3.33397E-05
見,gin3,174,0.001450278
條,tiu4,81,0.000675129
吖,aa1,585,0.004875935
嗎,maa3,635,0.005292681
咬,ngaau5,16,0.000133359
諗,nam2,326,0.002717187
遠,jyun5,34,0.000283388
危險,ngai4him2,1,8.33493E-06
大佬,daai6lou2,28,0.000233378
唔同,m4tung4,2,1.66699E-05
香港,hoeng1gong2,145,0.001208565
嗰啲,go2di1,2,1.66699E-05
海洋公園,hoi2joeng4gung1jyun2,2,1.66699E-05
細,sai3,47,0.000391742
屬於,suk6jyu1,2,1.66699E-05
成,seng4,7,5.83445E-05
點,dim2,290,0.00241713
有時,jau5si4,51,0.000425081
圖片,tou4pin2,2,1.66699E-05
尾,mei5,3,2.50048E-05
發,faat3,6,5.00096E-05
死,sei2,121,0.001008527
但,daan6,31,0.000258383
哩啲,ni1di1,170,0.001416938
價錢,gaa3cin4,13,0.000108354
唔緊要,m4gan2jiu3,2,1.66699E-05
噠,daat3,1,8.33493E-06
朵,do2,1,8.33493E-06
度,dou2,53,0.000441751
大概,daai6koi3,2,1.66699E-05
應該,jing1goi1,162,0.001350259
夏天,haa6tin1,6,5.00096E-05
氣候,hei3hau6,1,8.33493E-06
季節,gwai3zit3,1,8.33493E-06
梗係,gang2hai6,104,0.000866833
着,zoek3,33,0.000275053
泳褲,wing6fu3,1,8.33493E-06
走去,zau2heoi3,22,0.000183368
𠻺,aa6,325,0.002708853
避,bei6,3,2.50048E-05
寒,hon4,1,8.33493E-06
凍,dung3,33,0.000275053
怪,gwaai3,7,5.83445E-05
十二月,sap6ji6jyut6,4,3.33397E-05
點,dim2,7,5.83445E-05
時侯,si4hau6,1,8.33493E-06
聖誕節,sing3daan3zit3,3,2.50048E-05
適應,sik1jing3,1,8.33493E-06
試,si3,55,0.000458421
咦,ji2,89,0.000741809
聽講,teng1gong2,20,0.000166699
天,tin1,2,1.66699E-05
天氣,tin1hei3,3,2.50048E-05
唔,m4,2,1.66699E-05
熱,jit6,17,0.000141694
四十幾,sei3sap6gei2,3,2.50048E-05
度,dou6,8,6.66794E-05
冬天,dung1tin1,11,9.16842E-05
嗰時,go2si4,19,0.000158364
曬,saai3,7,5.83445E-05
到,dou3,79,0.00065846
犀利,sai1lei6,47,0.000391742
次次,ci3ci3,4,3.33397E-05
返來,faan1lei4,41,0.000341732
黑,haak1,6,5.00096E-05
緊要,gan2jiu3,35,0.000291723
鬼,gwai2,56,0.000466756
烏蠅,wu1jing1,6,5.00096E-05
覺,gok3,12,0.000100019
近住,gan6zyu6,2,1.66699E-05
唔記得,m4gei3dak1,49,0.000408412
邊度,bin1dou6,44,0.000366737
,bo3,9,7.50144E-05
威,wai1,5,4.16747E-05
圍,wai4,4,3.33397E-05
住,zyu6,220,0.001833685
來,lai4,84,0.000700134
追,zeoi1,9,7.50144E-05
好彩,hou2coi2,18,0.000150029
總之,zung2zi1,27,0.000225043
城市,sing4si5,12,0.000100019
嗰陣,go2zan6,10,8.33493E-05
嘩,waa3,237,0.001975379
係噉,hai6gam2,23,0.000191703
恐怖,hung2bou3,6,5.00096E-05
美國,mei5gwok3,14,0.000116689
出,ceot1,109,0.000908507
乜,mat1,175,0.001458613
