word,phono,occured,ratio
听唔听到,teng1m4ting3dou3,644,0.000775208
啊,a1,57683,0.069435266
食饭,sik6faan6,619,0.000745114
未,mei6,2778,0.003343986
好,hou3,10426,0.012550181
细声,sai3seng1,247,0.000297323
正,jing3,123,0.00014806
系,hai6,33609,0.040456458
煮饭,jyu2faan6,137,0.000164912
哦,o1,8411,0.010124647
有,yau5,11161,0.013434929
人,yan4,3096,0.003726775
屋企,uk1kei2,954,0.001148367
喂,wai3,3340,0.004020488
通,tung1,78,9.38916E-05
左,jo2,6223,0.007490867
啦,la1,13161,0.015842407
我,o5,24395,0.029365208
讲,gong2,4910,0.005910358
大声,daai6seng1,250,0.000300935
啲,di1,7718,0.009290456
咯,lo1,9126,0.01098532
天仔,tin1jai2,6,7.22243E-06
哩,le1,2748,0.003307874
听到,teng1dou2,2257,0.002716839
话,wa2,3679,0.004428555
去,heui3,11008,0.013250757
公园,gung1yun2,60,7.22243E-05
玩,waan2,1326,0.001596158
过,go3,2985,0.00359316
几,gei1,2350,0.002828786
日,yat6,2130,0.002563964
过嚟,go3lai4,578,0.000695761
蔡一心,choi3yat1sam1,1,1.20374E-06
就,jau6,10315,0.012416566
两,leung5,2248,0.002706005
岁,seui3,186,0.000223895
到时,dou3si4,969,0.001166423
带,daai3,560,0.000674094
埋,maai4,500,0.000601869
一起,yat1hei2,83,9.99103E-05
九月,gau2yut6,10,1.20374E-05
三十,saam1sap6,89,0.000107133
仲,jung6,2051,0.002468868
后日,hau6yat6,89,0.000107133
大后日,daai6hau6yat6,4,4.81496E-06
今日,gam1yat6,1193,0.00143606
廿八,ya6baat3,10,1.20374E-05
嘛,ma3,8705,0.010478546
你,lei5,26036,0.031340544
要,yiu1,4114,0.004952181
深圳,sam1jan3,141,0.000169727
果边,go2bin6,1341,0.001614214
咁,gam3,16946,0.020398558
快,faai3,593,0.000713817
过去,go3heui3,597,0.000718632
先,sin1,3127,0.003764091
定,ding6,500,0.000601869
香港,heung1gong2,260,0.000312972
