Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
HKCAC,syllable,###,###,###,15564,139092,0,0,0,0,0,0,0,0,0,0,
HKCAC,rime,###,###,###,15466,135065,0,0,0,0,0,0,0,0,0,0,
HKCAC,segment,###,###,###,34713,278229,0,0,0,0,0,0,0,0,0,0,
HKCAC,tone,###,###,###,15637,134769,0,0,0,0,0,0,0,0,0,0,counts for tone = counts for syllable.
HKCanCor,syllable,###,###,###,0,0,0,0,14388,157096,0,0,0,0,0,0,
HKCanCor,rime,###,###,###,0,0,0,0,14265,153085,0,0,0,0,0,0,
HKCanCor,segment,###,###,###,0,0,0,0,32165,312041,0,0,0,0,0,0,
HKCanCor,tone,###,###,###,0,0,0,0,14388,157096,0,0,0,0,0,0,counts for tone = counts for syllable.
IARPA,syllable,###,###,###,0,0,0,0,0,0,0,0,43710,1046183,0,0,
IARPA,rime,###,###,###,0,0,0,0,0,0,0,0,42998,1017490,0,0,
IARPA,segment,###,###,###,0,0,0,0,0,0,0,0,96322,2036029,0,0,
IARPA,tone,###,###,###,0,0,0,0,0,0,0,0,43710,1046183,0,0,counts for tone = counts for syllable.
∅,segment,###,###,onset,572,"13,560",0.0164779766,0.0487368319,353,12032,0.0109746619,0.0385590355,1702,136574,0.0176698989,0.0670786123,includes syllabic nasals
b,segment,###,###,onset,642,"3,091",0.0184945121,0.0111095536,680,3690,0.0211409918,0.0118253691,1890,26936,0.0196216856,0.0132296740,
p,segment,###,###,onset,210,956,0.0060496068,0.0034360185,259,1005,0.0080522307,0.0032207306,744,5725,0.0077240921,0.0028118460,
d,segment,###,###,onset,"1,217","11,459",0.0350589116,0.0411854983,1045,14254,0.0324887300,0.0456798946,3569,93996,0.0370528021,0.0461663365,
t,segment,###,###,onset,506,"2,911",0.0145766716,0.0104626045,545,3204,0.0169438831,0.0102678815,1700,25575,0.0176491352,0.0125612160,
g,segment,###,###,onset,"1,771","21,762",0.0510183505,0.0782161457,1310,21794,0.0407274988,0.0698433860,4094,138075,0.0425032703,0.0678158317,
k,segment,###,###,onset,279,"3,871",0.0080373347,0.0139129997,263,3769,0.0081765895,0.0120785410,829,27868,0.0086065489,0.0136874278,
gw,segment,###,###,onset,128,427,0.0036873794,0.0015347070,216,1734,0.0067153739,0.0055569621,404,2949,0.0041942651,0.0014484077,
kw,segment,###,###,onset,30,71,0.0008642295,0.0002551855,30,63,0.0009326908,0.0002018965,84,358,0.0008720749,0.0001758325,
f,segment,###,###,onset,685,"3,089",0.0197332411,0.0111023653,550,2620,0.0170993316,0.0083963325,2040,19786,0.0211789622,0.0097179362,
s,segment,###,###,onset,"1,928","8,852",0.0555411517,0.0318155189,1875,9579,0.0582931758,0.0306978891,5275,62558,0.0547642283,0.0307254956,
h,segment,###,###,onset,898,"12,541",0.0258692709,0.0450743812,873,18607,0.0271413027,0.0596299845,3140,111302,0.0325989909,0.0546662155,
z,segment,###,###,onset,"1,729","13,676",0.0498084291,0.0491537546,1463,13845,0.0454842220,0.0443691694,4262,79200,0.0442474201,0.0388992495,
c,segment,###,###,onset,785,"3,327",0.0226140063,0.0119577758,956,4047,0.0297217472,0.0129694495,2841,30649,0.0294948195,0.0150533219,
m,segment,###,###,onset,782,"5,917",0.0225275833,0.0212666544,696,6433,0.0216384269,0.0206158806,2081,63877,0.0216046178,0.0313733252,
n,segment,###,###,onset,95,296,0.0027367269,0.0010638718,269,7841,0.0083631276,0.0251281082,193,4179,0.0020036959,0.0020525248,
ng,segment,###,###,onset,176,"1,322",0.0050701466,0.0047514817,152,3515,0.0047256335,0.0112645454,105,207,0.0010900936,0.0001016685,
w,segment,###,###,onset,452,"4,329",0.0130210584,0.0155591258,427,5119,0.0132752992,0.0164048955,1387,32575,0.0143996179,0.0159992810,
l,segment,###,###,onset,"1,045","14,480",0.0301039956,0.0520434606,933,8210,0.0290066843,0.0263106451,3289,91535,0.0341458857,0.0449576111,
j,segment,###,###,onset,"1,634","13,155",0.0470717022,0.0472811964,1493,15735,0.0464169128,0.0504260658,4081,92259,0.0423683063,0.0453132053,
i,rime,###,###,rime,860,8629,0.0556058451,0.0638877577,835,9576,0.0585348756,0.0625534834,1783,60937,0.0414670450,0.0598895321,
e,rime,###,###,rime,271,10472,0.0175223070,0.0775330396,180,8080,0.0126182965,0.0527811347,620,37393,0.0144192753,0.0367502383,
yu,rime,###,###,rime,208,1526,0.0134488556,0.0112982638,238,1890,0.0166841921,0.0123460822,666,8710,0.0154890925,0.0085602807,
oe,rime,###,###,rime,3,3,0.0001939739,0.0000222115,4,8,0.0002804066,0.0000522585,5,13,0.0001162845,0.0000127765,
u,rime,###,###,rime,160,738,0.0103452735,0.0054640358,124,358,0.0086926043,0.0023385701,429,2020,0.0099772082,0.0019852775,
o,rime,###,###,rime,739,13622,0.0477822320,0.1008551438,445,14736,0.0311952331,0.0962602476,1440,116906,0.0334899298,0.1148964609,
aa,rime,###,###,rime,566,9776,0.0365964050,0.0723799652,620,15116,0.0434630214,0.0987425287,2549,138164,0.0592818271,0.1357890495,
ei,rime,###,###,rime,689,8380,0.0445493340,0.0620442009,652,8478,0.0457062741,0.0553809975,1674,62303,0.0389320434,0.0612320514,
eoi,rime,###,###,rime,386,4788,0.0249579723,0.0354495983,343,4861,0.0240448651,0.0317536009,1009,39844,0.0234662077,0.0391591072,
ui,rime,###,###,rime,175,1069,0.0113151429,0.0079147077,92,1090,0.0064493516,0.0071202273,293,3130,0.0068142704,0.0030761973,
oi,rime,###,###,rime,280,1597,0.0181042286,0.0118239366,250,1285,0.0175254118,0.0083940295,821,8803,0.0190939113,0.0086516821,
ai,rime,###,###,rime,598,10361,0.0386654597,0.0767112131,694,14765,0.0486505433,0.0964496848,1961,81225,0.0456067724,0.0798287944,
aai,rime,###,###,rime,384,2069,0.0248286564,0.0153185503,354,2853,0.0248159832,0.0186367051,1346,19739,0.0313037816,0.0193996993,
iu,rime,###,###,rime,325,1756,0.0210138368,0.0130011476,269,1839,0.0188573431,0.0120129340,925,14548,0.0215126285,0.0142979292,
eu,rime,###,###,rime,3,5,0.0001939739,0.0000370192,7,11,0.0004907115,0.0000718555,0,0,0.0000000000,0.0000000000,
ou,rime,###,###,rime,806,7921,0.0521143153,0.0586458372,749,9880,0.0525061339,0.0645393082,2540,72997,0.0590725150,0.0717422284,
au,rime,###,###,rime,720,6581,0.0465537308,0.0487246881,654,6801,0.0458464774,0.0444262991,2139,46936,0.0497464998,0.0461292003,
aau,rime,###,###,rime,171,600,0.0110565111,0.0044423056,151,873,0.0105853488,0.0057027142,594,5317,0.0138145960,0.0052256042,
im,rime,###,###,rime,158,774,0.0102159576,0.0057305742,150,1034,0.0105152471,0.0067544175,318,1612,0.0073956928,0.0015842908,
ip,rime,###,###,rime,52,182,0.0033622139,0.0013474994,68,239,0.0047669120,0.0015612242,193,1132,0.0044885809,0.0011125416,
em,rime,###,###,rime,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ep,rime,###,###,rime,0,0,0.0000000000,0.0000000000,1,4,0.0000701016,0.0000261293,0,0,0.0000000000,0.0000000000,
am,rime,###,###,rime,276,4671,0.0178455968,0.0345833488,271,5152,0.0189975464,0.0336545057,805,28418,0.0187218010,0.0279295128,
ap,rime,###,###,rime,210,550,0.0135781715,0.0040721134,194,639,0.0135997196,0.0041741516,421,4884,0.0097911531,0.0048000472,
aam,rime,###,###,rime,160,764,0.0103452735,0.0056565357,168,745,0.0117770768,0.0048665774,558,5832,0.0129773478,0.0057317517,
aap,rime,###,###,rime,70,167,0.0045260572,0.0012364417,85,209,0.0059586400,0.0013652546,234,1220,0.0054421136,0.0011990290,
in,rime,###,###,rime,619,3084,0.0400232769,0.0228334506,543,3262,0.0380651945,0.0213084234,1485,30736,0.0345364901,0.0302076679,
it,rime,###,###,rime,99,362,0.0064011380,0.0026801910,115,359,0.0080616894,0.0023451024,273,1802,0.0063491325,0.0017710248,
en,rime,###,###,rime,4,4,0.0002586318,0.0000296154,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
et,rime,###,###,rime,0,0,0.0000000000,0.0000000000,2,4,0.0001402033,0.0000261293,0,0,0.0000000000,0.0000000000,
yun,rime,###,###,rime,340,1326,0.0219837062,0.0098174953,297,1122,0.0208201893,0.0073292615,980,6689,0.0227917578,0.0065740204,
yut,rime,###,###,rime,70,307,0.0045260572,0.0022729797,73,315,0.0051174203,0.0020576804,236,1943,0.0054886274,0.0019096011,
eon,rime,###,###,rime,128,451,0.0082762188,0.0033391330,111,335,0.0077812829,0.0021883267,297,1791,0.0069072980,0.0017602139,
eot,rime,###,###,rime,80,449,0.0051726368,0.0033243253,73,452,0.0051174203,0.0029526080,196,3133,0.0045583516,0.0030791457,
an,rime,###,###,rime,686,4342,0.0443553601,0.0321474845,660,4956,0.0462670873,0.0323741712,1877,27250,0.0436531932,0.0267815900,
