OrthographicRepresentationTraditional,OrthographicRepresentationSimplified,PhonologicalRepresentationJyutping,NumberOfSyllables,PartOfSpeech,HKCACFrequency,HKCACProbability,HKCanCorFrequency,HKCanCorProbability,IARPAFrequency,IARPAProbability,TotalFrequency,TotalProbability,HKFrequency,HKProbability,,,,,,
呢,呢,ne1,1,"Y1, Y, X, C",3664,0.0368570882,2682,0.0223542846,3688,0.0044393887,10034,0.0095549802,6346,0.0289259212,,99411,,119977,,830745
係,系,hai6,1,"V, X",3634,0.0365553108,4937,0.0411495537,33609,0.0404564578,42180,0.0401663408,8571,0.0390677703,,,,,,
唔,唔,m4,1,"D, L1, R, E, M",3052,0.0307008279,1950,0.0162531152,17050,0.0205237468,22052,0.0209992449,5002,0.0227997885,,,,,,
嘅,嘅,ge3,1,"U, Y, Y1, Q, E",3028,0.0304594059,1721,0.0143444160,9982,0.0120157208,14731,0.0140277470,4749,0.0216465805,,,,,,
呀,呀,aa4,1,"Y, Y1, E",2904,0.0292120590,402,0.0033506422,1291,0.0015540268,4597,0.0043775407,3306,0.0150691925,,,,,,
咁,咁,gam3,1,"D, R, U",2785,0.0280150084,450,0.0037507189,17594,0.0211785807,20829,0.0198346305,3235,0.0147455649,,,,,,
我,我,ngo5,1,R,2586,0.0260132179,2668,0.0222375955,24395,0.0293652083,29649,0.0282335666,5254,0.0239484384,,,,,,
你,你,nei5,1,R,2445,0.0245948637,2535,0.0211290497,26038,0.0313429512,31018,0.0295372110,4980,0.0226995095,,,,,,
佢,佢,keoi5,1,R,2171,0.0218386295,2224,0.0185368862,17820,0.0214506256,22215,0.0211544633,4395,0.0200330009,,,,,,
即,即,zik1,1,"D, C",1717,0.0172717305,116,0.0009668520,267,0.0003213983,2100,0.0019997467,1833,0.0083550604,,,,,,
就,就,zau6,1,"D, V, C, U",1458,0.0146663850,1771,0.0147611626,10315,0.0124165659,13544,0.0128974139,3229,0.0147182161,,,,,,
啦,啦,naa1,1,###,1140,0.0114675438,0,0.0000000000,13161,0.0158424065,14301,0.0136182750,1140,0.0051962733,,,,,,
㗎,㗎,gaa4,1,"Y, Y1",1055,0.0106125077,54,0.0004500863,9545,0.0114896870,10654,0.0101453816,1109,0.0050549711,,,,,,
都,都,dou1,1,D,1049,0.0105521522,2149,0.0179117664,12973,0.0156161036,16171,0.0153990018,3198,0.0145769140,,,,,,
有,有,jau5,1,V1,969,0.0097474123,1296,0.0108020704,11161,0.0134349289,13426,0.0127850472,2265,0.0103241745,,,,,,
好,好,hou2,1,"D, A, VU, MG, G2, AG, V, V",912,0.0091740351,1796,0.0149695358,12321,0.0148312659,15029,0.0143115205,2708,0.0123434281,,,,,,
咗,咗,zo2,1,"U, D",891,0.0089627908,804,0.0067012844,1,0.0000012037,1696,0.0016150335,1695,0.0077260379,,,,,,
